Title,Tag
Portland_Oregon,Unk
United_States_Declaration_of_Independence,Unk
College,Unk
Ethnic_groups,Unk
René_Descartes,Unk
Las_Vegas_Nevada,Unk
United_States_Secretary_of_State,Unk
U.S._states,Unk
Population,Unk
Mathematician,Unk
Religious_humanism,Unk
Oregon_Country,Unk
Scientology,Unk
Sigmund_Freud,Unk
Germanic_languages,Unk
Julius_Caesar,Unk
Iowa,Unk
Immune_system,Unk
Madagascar,Unk
Corporation,Unk
Slavery_in_the_United_States,Unk
Tropical_cyclone,Unk
Scientific_method,Unk
Architecture,Unk
Korea,Unk
Cinema_of_the_United_Kingdom,Unk
Statistics,Unk
Cupertino_California,Unk
Film_industry,Unk
Amsterdam,Unk
Santa_Monica_California,Unk
Auto_racing,Unk
Sleep,Unk
British_Army,Unk
Mainland_China,Unk
IPod,Unk
Haiti,Unk
Virus,Unk
Army,Unk
Oxford,Unk
UK,Unk
Artificial_intelligence,Unk
Vitamin,Unk
J._K._Rowling,Unk
Hollywood_Los_Angeles_California,Unk
Mythology,Unk
Electrical_engineering,Unk
Quebec_City,Unk
Ship,Unk
Belarus,Unk
Greenhouse_gas,Unk
Ottoman_Empire,Unk
Doctor_Who,Unk
Cell_biology,Unk
Second_World_War,Unk
Website,Unk
Republic,Unk
Motor_vehicle,Unk
Quantum_mechanics,Unk
Politics,Unk
George_Lucas,Unk
Saint_Petersburg,Unk
Southeastern_Europe,Unk
Java_(programming_language),Unk
San_Francisco_Bay,Unk
Mars,Unk
Formula_One,Unk
Electronic_music,Unk
New_York_Stock_Exchange,Unk
Apple,Unk
History_of_India,Unk
Superhero,Unk
Cat,Unk
Elvis_Presley,Unk
British_English,Unk
Harry_Potter,Unk
British_people,Unk
Iron,Unk
Yale_University,Unk
City_of_London,Unk
Sacramento_California,Unk
Turkish_language,Unk
Montreal,Unk
Leonardo_da_Vinci,Unk
List_of_U.S._states_by_population,Unk
Public_university,Unk
Poetry,Unk
Geology,Unk
American_philosophy,Unk
Smartphone,Unk
West_Germany,Unk
Cambridge_Massachusetts,Unk
Las_Vegas_Strip,Unk
Baltimore,Unk
Hebrew_Bible,Unk
John_Adams,Unk
American_Jews,Unk
Geneva,Unk
Kyoto,Unk
Solar_eclipse,Unk
Alberta,Unk
Homo_sapiens,Unk
Benjamin_Franklin,Unk
Guitar,Unk
American_pop,Unk
Republic_of_Texas,Unk
English_literature,Unk
Rugby_football,Unk
Industrial_Revolution,Unk
Manhattan_Project,Unk
James_Bond,Unk
North_Sea,Unk
Music_industry,Unk
Jordan,Unk
Emotion,Unk
American_Idol,Unk
Traditional_Chinese_characters,Unk
Edgar_Allan_Poe,Unk
Mississippi_River,Unk
Blues,Unk
Lung,Unk
The_Church_of_Jesus_Christ_of_Latter_day_Saints,Unk
Data,Unk
Civilization,Unk
Persian_language,Unk
Italians,Unk
Birmingham,Unk
Drama,Unk
Surgery,Unk
Stroke,Unk
Central_America,Unk
Illness,Unk
Psychiatry,Unk
Crime,Unk
Bank,Unk
Nobel_Prize_in_Physics,Unk
Higher_education_in_the_United_States,Unk
Moldova,Unk
Israel_–_United_States_relations,Unk
Mind,Unk
Communism,Unk
Korean_language,Unk
Gregorian_calendar,Unk
Roman_Catholicism,Unk
Tax,Unk
Milky_Way,Unk
IPhone,Unk
New_York_Yankees,Unk
Classical_Greece,Unk
Augustus,Unk
Painting,Unk
Physicist,Unk
Kidney,Unk
HTML,Unk
20th_Century_Fox,Unk
Folk_music,Unk
United_Kingdom_of_Great_Britain_and_Northern_Ireland,Unk
The_Godfather,Unk
Weapon,Unk
Alcoholism,Unk
Nuclear_weapons_and_the_United_States,Unk
Human_physical_appearance,Unk
Al_Qaeda,Unk
Vancouver,Unk
Paul_McCartney,Unk
Yahoo!,Unk
Culture_of_the_United_Kingdom,Unk
Seinfeld,Unk
Rolling_Stone,Unk
Vermont,Unk
Academy_of_Motion_Picture_Arts_and_Sciences,Unk
Assassination_of_John_F._Kennedy,Unk
Irish_people,Unk
Byzantine_Empire,Unk
Jupiter,Unk
Bob_Dylan,Unk
Estonia,Unk
Bill_Gates,Unk
Botany,Unk
US_Economy,Unk
Human_eye,Unk
United_States_Department_of_Defense,Unk
Panama,Unk
Southwestern_United_States,Unk
World_Trade_Center,Unk
Dinosaur,Unk
Human_sexual_activity,Unk
Ludwig_van_Beethoven,Unk
Eminem,Unk
Samurai,Unk
World,Unk
Renewable_energy,Unk
X_Men,Unk
Niagara_Falls,Unk
Windows_Vista,Unk
Family_of_Barack_Obama,Unk
San_Jose_California,Unk
Childbirth,Unk
Geometry,Unk
Abortion,Unk
Romance_languages,Unk
Dominican_Republic,Unk
Marxism,Unk
Napoleon,Unk
Horse,Unk
List_of_countries_by_population,Unk
Character_(arts),Unk
Tuberculosis,Unk
Diabetes_mellitus_type_2,Unk
Venezuela,Unk
Telecommunications,Unk
Earthquake,Unk
Sicily,Unk
Prussia,Unk
Muscle,Unk
Blood_pressure,Unk
List_of_countries_by_GDP_(PPP),Unk
Madonna_(entertainer),Unk
Primate,Unk
Web_search_engine,Unk
Austria_Hungary,Unk
Tibet,Unk
University_of_Chicago,Unk
Anxiety,Unk
New_York_University,Unk
Astrology,Unk
Cairo,Unk
Infection,Unk
Climate_of_the_United_States,Unk
Lion,Unk
Wisconsin,Unk
French_Third_Republic,Unk
Felidae,Unk
South_West_England,Unk
Edinburgh,Unk
Molecular_biology,Unk
Old_English,Unk
Fascism,Unk
Soft_drink,Unk
Somalia,Unk
Gross_domestic_product,Unk
Hamburg,Unk
Jesus_Christ,Unk
Philadelphia_Pennsylvania,Unk
Anthropology,Unk
Natural_selection,Unk
Rhode_Island,Unk
Theodore_Roosevelt,Unk
Indigenous_peoples_of_the_Americas,Unk
Ecosystem,Unk
Disability,Unk
Nutrition,Unk
JavaScript,Unk
Electromagnetism,Unk
Great_Lakes,Unk
History_of_the_Internet,Unk
Lost_(TV_series),Unk
Massachusetts_Institute_of_Technology,Unk
List_of_countries_by_GDP_(nominal),Unk
Madrid,Unk
New_Hollywood,Unk
FIFA,Unk
Xbox,Unk
Science_fiction_film,Unk
HIV,Unk
Slovakia,Unk
South_Dakota,Unk
Obesity_in_the_United_States,Unk
Calculus,Unk
University_of_Virginia,Unk
Human_sexuality,Unk
Bolivia,Unk
Logic,Unk
Writing,Unk
North_American_Plate,Unk
Provinces_and_territories_of_Canada,Unk
Airline,Unk
Munich,Unk
Southern_Africa,Unk
ESPN,Unk
Member_states_of_the_United_Nations,Unk
DJ_Lady_Tribe,Unk
Democracy,Unk
Christian_Church,Unk
Serena_Williams,Unk
Terrorism,Unk
Bermuda,Unk
General_Motors,Unk
History_of_France,Unk
Central_processing_unit,Unk
Chinatown_Washington_D.C.,Unk
Kingdom_of_Italy,Unk
Climate_change,Unk
Quentin_Tarantino,Unk
Tiger,Unk
Mongolia,Unk
Chinese_New_Year,Unk
Tom_Cruise,Unk
Euro,Unk
Malcolm_X,Unk
Hormone,Unk
Sanskrit,Unk
Person,Unk
Minneapolis,Unk
Vostok_1,Unk
Opera,Unk
Spanish_Empire,Unk
Scientist,Unk
Rapping,Unk
Osama_bin_Laden,Unk
Smallpox,Unk
Theoretical_physics,Unk
Fungus,Unk
Shark,Unk
Chinatown,Unk
Republic_of_the_Congo,Unk
Kanye_West,Unk
Walmart,Unk
Nelson_Mandela,Unk
Super_Bowl,Unk
Arkansas,Unk
Irish_American,Unk
Art_music,Unk
Biotechnology,Unk
West_Germanic_languages,Unk
Taxonomy_(disambiguation),Unk
Venus,Unk
Geography_of_the_United_States,Unk
Titanic_(1997_film),Unk
Hurricane_Katrina,Unk
Microprocessor,Unk
Walt_Disney_Pictures,Unk
Ecuador,Unk
Frank_Sinatra,Unk
Israel–United_States_relations,Unk
Human_evolution,Unk
Socialism,Unk
Venice,Unk
Atlanta,Unk
Thomas_Jefferson,Unk
Marijuana,Unk
Poker,Unk
Role_playing_video_game,Unk
Firefox,Unk
50_United_States,Unk
Science_and_technology_in_the_United_Kingdom,Unk
Abrahamic_religions,Unk
Red_Hot_Chili_Peppers,Unk
Hillary_Rodham_Clinton,Unk
Horror_film,Unk
Pink_Floyd,Unk
Big_Bang,Unk
Libya,Unk
2010_United_States_Census,Unk
Hypertext_Transfer_Protocol,Unk
KGB,Unk
Kurt_Cobain,Unk
Wikipedia,Unk
Liver,Unk
Prostate_cancer,Unk
Martial_arts,Unk
Culture_of_Japan,Unk
Country_music,Unk
Electron,Unk
Idaho,Unk
Mount_Everest,Unk
Georgia_(country),Unk
Common_law,Unk
Barcelona,Unk
Galápagos_Islands,Unk
Kingdom_of_the_Netherlands,Unk
George_Harrison,Unk
Vladimir_Lenin,Unk
Florence,Unk
Columbus_Ohio,Unk
Age_of_Enlightenment,Unk
Hospital,Unk
Laos,Unk
Alzheimer's_disease,Unk
Central_Africa,Unk
Rugby_union,Unk
Swedish_language,Unk
Satellite,Unk
United_States_federal_executive_departments,Unk
Windows_XP,Unk
United_States_government,Unk
Fishing,Unk
Pig,Unk
Bing,Unk
Hardcore_punk,Unk
Mickey_Mouse,Unk
Universal_health_care,Unk
Fire,Unk
Schizophrenia,Unk
Andy_Warhol,Unk
Electromagnetic_radiation,Unk
Advertising,Unk
Hamburger,Unk
Cartoon_Network,Unk
New_York_City_New_York,Unk
United_States_Census,Unk
Beverly_Hills_California,Unk
Healthcare_in_the_United_Kingdom,Unk
Italy–United_States_relations,Unk
Princeton_University,Unk
Uganda,Unk
Tanakh,Unk
RMS_Titanic,Unk
Montana,Unk
Vitamin_D,Unk
Pork,Unk
Orange_(fruit),Unk
Nobel_Prize_in_Physiology_or_Medicine,Unk
Indian_people,Unk
Marilyn_Monroe,Unk
John_Quincy_Adams,Unk
Public_holidays_in_the_United_States,Unk
Hip_hop,Unk
Whale,Unk
Wrestling,Unk
Herbert_Hoover,Unk
Jewish,Unk
Saturn,Unk
Maya_civilization,Unk
Integrated_circuit,Unk
Spaceflight,Unk
Society,Unk
Northern_California,Unk
Fidel_Castro,Unk
Monarchy_of_the_United_Kingdom,Unk
Thrash_metal,Unk
Nuclear_power,Unk
Fox_News_Channel,Unk
Seoul,Unk
Dolphin,Unk
Commonwealth_of_Nations,Unk
Broadway_theatre,Unk
Musical_instrument,Unk
Eastern_Orthodox_Church,Unk
World_war,Unk
Rail_transport,Unk
Economy_of_Greece,Unk
Transport,Unk
Dream,Unk
Hilary_Duff,Unk
Semiconductor,Unk
Burma,Unk
Serial_killer,Unk
Taxation_in_the_United_States,Unk
Jacqueline_Kennedy_Onassis,Unk
Information_technology,Unk
Submarine,Unk
South_East_England,Unk
Ghana,Unk
BMW,Unk
Michael_Jordan,Unk
Uniformed_services_of_the_United_States,Unk
Bermuda_Triangle,Unk
Elephant,Unk
History,Unk
Chinese_astrology,Unk
Pasadena_California,Unk
Persian_Gulf,Unk
French_people,Unk
Baptism,Unk
Sexual_intercourse,Unk
Caffeine,Unk
Nitrogen,Unk
Kazakhstan,Unk
Data_(computing),Unk
Oxford_English_Dictionary,Unk
State_of_Palestine,Unk
Pancreas,Unk
Sailor_Moon,Unk
German_American,Unk
Firearm,Unk
Hair,Unk
Cooking,Unk
Zeus,Unk
PlayStation_2,Unk
Zoo,Unk
South_Carolina,Unk
Blu_ray_Disc,Unk
Southwest_Airlines,Unk
Capital_punishment_in_the_United_States,Unk
Kuwait,Unk
Immigration_to_the_United_States,Unk
Head_of_state,Unk
Skin,Unk
Gulf_of_Mexico,Unk
Cornell_University,Unk
Economic_system,Unk
Capcom,Unk
Tom_Hanks,Unk
Napoleonic_Wars,Unk
Electric_guitar,Unk
Atheism,Unk
Slovenia,Unk
God_in_Christianity,Unk
Copper,Unk
Particle_physics,Unk
Royal_Air_Force,Unk
Welsh_language,Unk
Dragon_Ball,Unk
Japan_–_United_States_relations,Unk
Guam,Unk
Social_sciences,Unk
Chevrolet,Unk
Achaemenid_Empire,Unk
Liberia,Unk
Jimi_Hendrix,Unk
Cable_television_in_the_United_States,Unk
